Real Close,Datetime,Company,Predicted Close (Linear Regression),Predicted Close (Decision Tree),Predicted Close (Random Forest),Predicted Close (Gradient Boosting)
416.56,2024-05-14 15:10:00,MSFT,416.5099102144479,416.78,416.54592000000014,416.57320750789165
417.15,2024-05-14 15:15:00,MSFT,417.0424018919333,416.78,416.62752000000006,416.4853219009796
417.09,2024-05-14 15:20:00,MSFT,417.1195060402084,417.48,417.24316999999996,417.10149643873785
416.92,2024-05-14 15:25:00,MSFT,417.1032237242612,417.48,417.43397,417.0587768392947
416.958,2024-05-14 15:30:00,MSFT,416.7855536110349,417.48,417.44184,417.0581140748753
416.89,2024-05-14 15:35:00,MSFT,416.6148658956865,417.125,417.22335999999996,417.05449328611
417.1,2024-05-14 15:40:00,MSFT,417.0312692796643,417.125,417.31571999999994,417.05823435090423
416.543,2024-05-14 15:45:00,MSFT,416.7709993428169,416.78,416.94101,416.68331742174263
417.13,2024-05-14 15:50:00,MSFT,417.0591188998408,417.125,417.21575000000007,417.02520614088735
416.42,2024-05-14 15:55:00,MSFT,416.4189186609083,416.78,416.75303999999994,416.69183531990114
416.335,2024-05-14 16:00:00,MSFT,416.9582271921316,416.78,416.6479200000001,416.6594652191923
416.335,2024-05-14 16:05:00,MSFT,415.37759728633216,416.41,416.47401000000013,416.31474609592607
416.2,2024-05-14 16:10:00,MSFT,416.0945627710318,416.41,416.3489000000002,416.51609447836125
416.19,2024-05-14 16:15:00,MSFT,416.23228518687864,416.3,416.26435000000004,416.374886559896
416.22,2024-05-14 16:20:00,MSFT,416.204512409964,416.3,416.2390400000001,416.3421589480227
416.22,2024-05-14 16:25:00,MSFT,416.04704849895313,416.3,416.2880400000002,416.2081719127018
416.16,2024-05-14 16:30:00,MSFT,415.91714022805115,416.13,416.24386000000004,416.1792820270488
416.13,2024-05-14 16:35:00,MSFT,416.2512186728508,416.13,416.22738,416.17374367237124
416.165,2024-05-14 16:40:00,MSFT,415.9079929975238,416.13,416.18602,416.1568191354744
416.125,2024-05-14 16:45:00,MSFT,416.1786369536417,415.805,416.14490999999987,416.1586574473034
416.115,2024-05-14 16:50:00,MSFT,415.50298530120534,415.9,416.27397999999994,416.11629317094986
416.21,2024-05-14 16:55:00,MSFT,416.32029124414964,415.9,416.2669800000001,416.11629317094986
416.2,2024-05-14 17:00:00,MSFT,416.74165922477704,415.9,416.2810600000001,416.11629317094986
416.175,2024-05-14 17:05:00,MSFT,416.4188000315974,415.9,416.20506000000006,416.13067623748594
416.16,2024-05-14 17:10:00,MSFT,415.67654306436145,416.13,416.2092100000001,416.1586574473034
416.08,2024-05-14 17:15:00,MSFT,416.1103522565719,416.13,416.2031400000001,416.1586574473034
416.1,2024-05-14 17:20:00,MSFT,415.6980671885109,415.805,416.15918,416.1586574473034
416.13,2024-05-14 17:25:00,MSFT,416.13952647662984,416.13,416.13902,416.1586574473034
416.03,2024-05-14 17:30:00,MSFT,416.15580055580756,415.9,416.23484,416.13273012215217
416.09,2024-05-14 17:35:00,MSFT,415.80868351378,416.13,416.20069,416.13273012215217
416.04,2024-05-14 17:40:00,MSFT,416.03823930132177,415.9,416.2396600000001,416.13273012215217
416.08,2024-05-14 17:45:00,MSFT,416.1802563113142,415.9,416.2132700000002,416.13437707738126
416.0,2024-05-14 17:50:00,MSFT,415.8319248492473,416.13,416.19064000000014,416.1175362810155
416.12,2024-05-14 17:55:00,MSFT,416.0501363009343,416.13,416.1738600000001,416.1298804337596
416.1,2024-05-14 18:00:00,MSFT,416.1164338869813,415.805,416.15620999999993,416.13210720668275
416.11,2024-05-14 18:05:00,MSFT,416.17764191070535,415.805,416.1632099999999,416.13934092508975
415.95,2024-05-14 18:10:00,MSFT,415.96298963772944,415.805,416.1302099999999,416.13934092508975
416.3,2024-05-14 18:15:00,MSFT,416.15799465799125,416.13,416.1476999999998,416.1421214687101
416.31,2024-05-14 18:20:00,MSFT,416.2830837510289,416.13,416.16783,416.120731396557
416.325,2024-05-14 18:25:00,MSFT,416.2590791418254,416.31,416.2783900000003,416.29527989346326
416.29,2024-05-14 18:30:00,MSFT,416.3962956628587,415.805,416.2841500000003,416.3083510673184
416.325,2024-05-14 18:35:00,MSFT,416.22837247142417,416.31,416.26514000000026,416.3083510673184
416.225,2024-05-14 18:40:00,MSFT,416.14538321896504,415.805,416.2496800000003,416.3083510673184
416.235,2024-05-14 18:45:00,MSFT,416.1434216804276,415.805,416.2446600000001,416.2999602967082
416.4,2024-05-14 18:50:00,MSFT,416.30013068319846,416.31,416.27275000000014,416.3083510673184
416.4,2024-05-14 18:55:00,MSFT,416.5774767018364,415.805,416.2616600000003,416.3083510673184
414.18,2024-05-14 19:00:00,MSFT,415.69694794212916,415.9,415.97603,415.5187015080354
414.4,2024-05-14 19:05:00,MSFT,414.17339529406587,415.9,415.25943000000007,414.9598681088883
414.4,2024-05-14 19:10:00,MSFT,411.8541250103411,413.75,414.1715399999998,414.2524236459148
414.6,2024-05-14 19:15:00,MSFT,415.05491209316466,413.75,414.1746999999999,414.2788321041392
414.8,2024-05-14 19:20:00,MSFT,415.0014107873499,414.58,414.62588999999986,414.4611385567182
414.99,2024-05-14 19:25:00,MSFT,415.5009789385052,414.88,414.8460500000001,414.84122848564016
415.17,2024-05-14 19:30:00,MSFT,415.06902883791815,415.08,415.06265999999994,415.2156205478539
415.68,2024-05-14 19:35:00,MSFT,415.67966544685356,415.248,415.48659,415.31440587953955
415.65,2024-05-14 19:40:00,MSFT,415.80668294023764,415.248,415.6201300000001,415.62335146289763
416.0,2024-05-14 19:45:00,MSFT,416.03040734011074,415.248,415.75971,415.88044533810967
416.36,2024-05-14 19:50:00,MSFT,416.23377161348924,416.3,416.1689799999999,416.20232542134363
416.45,2024-05-14 19:55:00,MSFT,416.3454510430031,416.4,416.3873900000003,416.3697130613906
