Datetime,Company,Low,Open,High,Close,Volume
2024-05-10 11:40:00,TSLA,168.522,168.6,168.89,168.89,885082
2024-05-10 11:45:00,TSLA,168.75,168.87,169.21,169.115,1188109
2024-05-10 11:50:00,TSLA,168.92,169.13,169.189,168.95,540199
2024-05-10 11:55:00,TSLA,168.775,168.95,169.19,169.048,539621
2024-05-10 12:00:00,TSLA,168.27,169.045,169.05,168.285,1028041
2024-05-10 12:05:00,TSLA,168.11,168.3,168.43,168.256,909638
2024-05-10 12:10:00,TSLA,168.112,168.27,168.558,168.14,687670
2024-05-10 12:15:00,TSLA,167.75,168.13,168.19,167.871,1417486
2024-05-10 12:20:00,TSLA,167.8,167.89,168.5,168.435,895925
2024-05-10 12:25:00,TSLA,168.25,168.44,168.5,168.42,429426
2024-05-10 12:30:00,TSLA,168.293,168.42,168.68,168.556,538342
2024-05-10 12:35:00,TSLA,168.21,168.546,168.649,168.589,479761
2024-05-10 12:40:00,TSLA,168.52,168.6,168.78,168.74,408972
2024-05-10 12:45:00,TSLA,168.59,168.72,168.92,168.801,447771
2024-05-10 12:50:00,TSLA,168.6,168.8,169.08,168.94,602474
2024-05-10 12:55:00,TSLA,168.64,168.93,168.94,168.66,382807
2024-05-10 13:00:00,TSLA,168.38,168.66,168.88,168.69,511435
2024-05-10 13:05:00,TSLA,168.62,168.68,169.05,168.65,602029
2024-05-10 13:10:00,TSLA,168.52,168.63,168.85,168.765,388725
2024-05-10 13:15:00,TSLA,168.57,168.77,168.91,168.71,407516
2024-05-10 13:20:00,TSLA,168.63,168.729,169.01,168.835,456228
2024-05-10 13:25:00,TSLA,168.51,168.82,168.84,168.62,388174
2024-05-10 13:30:00,TSLA,168.53,168.636,168.98,168.88,476226
2024-05-10 13:35:00,TSLA,168.84,168.91,169.05,168.884,381458
2024-05-10 13:40:00,TSLA,168.66,168.875,168.923,168.71,391698
2024-05-10 13:45:00,TSLA,168.37,168.71,168.86,168.43,528042
2024-05-10 13:50:00,TSLA,168.22,168.428,168.56,168.23,433617
2024-05-10 13:55:00,TSLA,168.23,168.24,168.67,168.63,498307
2024-05-10 14:00:00,TSLA,167.93,168.64,168.64,168.02,913404
2024-05-10 14:05:00,TSLA,167.776,168.02,168.45,168.428,834261
2024-05-10 14:10:00,TSLA,168.25,168.412,168.47,168.3,391686
2024-05-10 14:15:00,TSLA,168.22,168.33,168.58,168.5,429219
2024-05-10 14:20:00,TSLA,168.34,168.51,168.54,168.44,310265
2024-05-10 14:25:00,TSLA,168.32,168.43,168.6,168.56,331277
2024-05-10 14:30:00,TSLA,168.4,168.554,168.63,168.59,315927
2024-05-10 14:35:00,TSLA,168.4,168.58,168.65,168.52,284548
2024-05-10 14:40:00,TSLA,168.32,168.51,168.55,168.468,325401
2024-05-10 14:45:00,TSLA,168.35,168.465,168.63,168.553,294548
2024-05-10 14:50:00,TSLA,168.57,168.57,168.79,168.67,447749
2024-05-10 14:55:00,TSLA,168.656,168.669,168.868,168.83,288289
2024-05-10 15:00:00,TSLA,168.431,168.835,168.98,168.9,642969
2024-05-10 15:05:00,TSLA,168.63,168.9,168.905,168.71,332795
2024-05-10 15:10:00,TSLA,168.61,168.712,168.79,168.75,316169
2024-05-10 15:15:00,TSLA,168.71,168.75,168.95,168.9,426985
2024-05-10 15:20:00,TSLA,168.75,168.89,169.07,168.89,664949
2024-05-10 15:25:00,TSLA,168.85,168.88,169.2,169.154,627060
2024-05-10 15:30:00,TSLA,168.953,169.16,169.31,169.191,608560
2024-05-10 15:35:00,TSLA,168.97,169.2,169.24,168.982,463837
2024-05-10 15:40:00,TSLA,168.75,168.98,169.05,168.81,676127
2024-05-10 15:45:00,TSLA,168.51,168.81,168.91,168.59,652103
2024-05-10 15:50:00,TSLA,168.44,168.59,168.73,168.614,898072
2024-05-10 15:55:00,TSLA,168.46,168.62,168.8,168.46,1472239
2024-05-10 16:00:00,TSLA,168.23,168.47,168.61,168.38,4454614
2024-05-10 16:05:00,TSLA,168.32,168.4,168.47,168.42,87965
2024-05-10 16:10:00,TSLA,168.34,168.42,168.45,168.35,17824
2024-05-10 16:15:00,TSLA,168.3,168.39,168.47,168.34,16867
2024-05-10 16:20:00,TSLA,168.2,168.47,168.47,168.23,31431
2024-05-10 16:25:00,TSLA,167.83,168.23,168.23,167.985,100149
2024-05-10 16:30:00,TSLA,167.8,167.99,168.0,167.91,25812
2024-05-10 16:35:00,TSLA,167.86,167.9,168.2,168.14,31787
2024-05-10 16:40:00,TSLA,168.1,168.15,168.47,168.12,14812
2024-05-10 16:45:00,TSLA,168.04,168.12,168.15,168.05,13762
2024-05-10 16:50:00,TSLA,167.94,168.05,168.1,167.97,23826
2024-05-10 16:55:00,TSLA,167.92,167.98,168.0,167.96,20122
2024-05-10 17:00:00,TSLA,164.129,167.96,176.247,167.89,48139
2024-05-10 17:05:00,TSLA,164.922,167.87,176.247,167.89,20174
2024-05-10 17:10:00,TSLA,167.85,167.9,167.99,167.92,20977
2024-05-10 17:15:00,TSLA,167.925,167.95,168.0,168.0,13901
2024-05-10 17:20:00,TSLA,167.97,168.0,168.09,168.04,5451
2024-05-10 17:25:00,TSLA,168.0,168.015,168.15,168.13,9297
2024-05-10 17:30:00,TSLA,167.95,168.13,168.15,168.02,16653
2024-05-10 17:35:00,TSLA,167.91,168.0,168.03,167.97,7140
2024-05-10 17:40:00,TSLA,167.92,167.95,168.0,168.0,9548
2024-05-10 17:45:00,TSLA,167.95,168.0,168.09,168.04,7230
2024-05-10 17:50:00,TSLA,167.99,168.06,168.07,168.05,6511
2024-05-10 17:55:00,TSLA,167.99,168.03,168.05,168.02,7187
2024-05-10 18:00:00,TSLA,167.9,168.02,168.02,167.98,10120
2024-05-10 18:05:00,TSLA,167.91,167.91,168.0,167.95,4588
2024-05-10 18:10:00,TSLA,167.85,167.95,167.95,167.86,9597
2024-05-10 18:15:00,TSLA,167.71,167.86,167.9,167.84,23740
2024-05-10 18:20:00,TSLA,167.76,167.79,167.85,167.78,5242
2024-05-10 18:25:00,TSLA,167.75,167.79,167.87,167.82,7543
2024-05-10 18:30:00,TSLA,167.66,167.815,167.82,167.71,18194
2024-05-10 18:35:00,TSLA,167.69,167.7,167.83,167.77,9397
2024-05-10 18:40:00,TSLA,167.76,167.76,167.9,167.88,9295
2024-05-10 18:45:00,TSLA,167.8,167.89,167.94,167.93,7036
2024-05-10 18:50:00,TSLA,167.8,167.921,167.94,167.89,6578
2024-05-10 18:55:00,TSLA,167.82,167.88,167.95,167.85,3739
2024-05-10 19:00:00,TSLA,167.75,167.929,168.47,167.75,15096
2024-05-10 19:05:00,TSLA,167.75,167.78,167.84,167.78,3910
2024-05-10 19:10:00,TSLA,167.75,167.78,167.87,167.8,10063
2024-05-10 19:15:00,TSLA,167.75,167.8,167.83,167.77,7509
2024-05-10 19:20:00,TSLA,167.75,167.78,167.8,167.8,6549
2024-05-10 19:25:00,TSLA,167.74,167.75,167.8,167.8,9185
2024-05-10 19:30:00,TSLA,167.75,167.79,167.83,167.75,10510
2024-05-10 19:35:00,TSLA,167.7,167.77,167.8,167.74,10716
2024-05-10 19:40:00,TSLA,167.59,167.74,167.75,167.65,22344
2024-05-10 19:45:00,TSLA,167.52,167.65,167.65,167.59,18864
2024-05-10 19:50:00,TSLA,167.51,167.55,167.6,167.52,24561
2024-05-10 19:55:00,TSLA,167.5,167.52,167.6,167.52,42732
2024-05-10 11:40:00,AAPL,182.44,182.44,182.57,182.535,351939
2024-05-10 11:45:00,AAPL,182.505,182.53,182.65,182.605,323450
2024-05-10 11:50:00,AAPL,182.525,182.61,182.63,182.54,260494
2024-05-10 11:55:00,AAPL,182.52,182.55,182.63,182.575,228868
2024-05-10 12:00:00,AAPL,182.295,182.575,182.59,182.295,338789
2024-05-10 12:05:00,AAPL,182.245,182.295,182.43,182.425,352730
2024-05-10 12:10:00,AAPL,182.415,182.43,182.58,182.546,335478
2024-05-10 12:15:00,AAPL,182.455,182.545,182.59,182.46,243882
2024-05-10 12:20:00,AAPL,182.42,182.455,182.58,182.55,226923
